YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS
2010,1,1,4.06,5.86,412.57,28.05,22.73,25.39,17.33,74.56,0.08,100.44
2010,1,2,5.21,5.58,408.32,28.34,22.48,25.41,17.09,72.56,0.05,100.45
2010,1,3,4.77,5.38,412.82,28.69,22.51,25.6,17.15,71.75,0.08,100.41
2010,1,4,5.17,5.55,407.15,28.44,22.46,25.45,17.15,73,0.05,100.43
2010,1,5,5.26,5.57,406.6,28.2,22.46,25.33,17.09,73.5,0.06,100.43
2010,1,6,5.49,5.64,402.89,28.19,22.96,25.58,17.58,75.5,2.7,100.42
2010,1,7,5.26,5.47,406.02,27.76,23.55,25.65,18.19,79.25,3.01,100.45
2010,1,8,4.97,5.37,408.84,28,23.58,25.79,18.25,78.81,1.31,100.39
2010,1,9,4.8,5.64,409.47,28.21,23.7,25.96,18.43,78.69,2.4,100.34
2010,1,10,4.52,5.31,414.94,27.76,23.58,25.67,18.25,79.56,3.07,100.38
2010,1,11,4.75,5.46,411.91,28,22.8,25.4,17.4,74.94,0.18,100.47
2010,1,12,5.72,5.75,403.48,28.65,22.62,25.63,17.27,72.69,0.16,100.45
2010,1,13,5.79,5.89,404.78,28.91,22.83,25.87,17.52,72.44,0.02,100.47
2010,1,14,5.24,5.73,410.11,28.65,22.82,25.74,17.46,73.12,0.05,100.53
2010,1,15,5.43,5.59,403.48,28.64,22.67,25.65,17.27,72.81,0.13,100.58
2010,1,16,4.81,5.47,414.7,28.51,22.59,25.55,17.21,72.56,0.32,100.64
2010,1,17,5.49,5.84,407.45,28.8,22.13,25.47,16.72,70.19,0.11,100.65
2010,1,18,4.95,5.53,411.46,28.48,22.59,25.54,17.21,72.75,0.44,100.6
2010,1,19,4.93,5.5,415.35,28.75,22.58,25.66,17.21,71.69,0.47,100.53
2010,1,20,5.43,5.74,400.95,28.87,20.98,24.92,15.87,67.12,0.45,100.47
2010,1,21,5.03,5.35,400.72,28.96,21.77,25.37,16.48,68.88,0.08,100.51
2010,1,22,4.97,5.33,410.64,28.88,22.14,25.51,16.78,69.69,0.05,100.46
2010,1,23,4.81,5.25,416.01,28.93,22.49,25.71,17.15,70.5,0.08,100.38
2010,1,24,4.9,5.29,413.52,28.69,22.76,25.73,17.4,72.38,0.32,100.28
2010,1,25,5,5.43,412.37,28.2,23.22,25.71,17.88,75.81,0.28,100.3
2010,1,26,4.83,5.77,411.58,28.06,23.58,25.82,18.25,77.94,2.2,100.3
2010,1,27,4.09,5.34,422.51,28.12,23.67,25.9,18.37,78.25,2.92,100.35
2010,1,28,4.96,5.55,414.61,28.05,23.05,25.55,17.7,75.81,1.31,100.36
2010,1,29,4.81,5.44,411.18,29.65,23.14,26.4,17.82,70.94,1.66,100.23
2010,1,30,5.7,5.88,406.41,29.78,22.66,26.23,17.52,69.62,0.61,100.23
2010,1,31,5.65,5.93,407.85,29.91,23,26.46,17.82,70.06,0.02,100.28
2010,2,1,5.18,5.61,412.97,29.9,22.84,26.37,17.64,69.44,0.06,100.41
2010,2,2,5.2,5.8,414.59,29.13,23.22,26.17,17.88,72.31,0.07,100.52
2010,2,3,5.33,5.75,409.7,29.27,22.94,26.11,17.7,71.56,0.02,100.42
2010,2,4,5.66,6.17,410.45,29.61,23.36,26.48,18.01,71.44,0.02,100.43
2010,2,5,5.52,6.14,412.62,30.12,23.11,26.62,17.82,68.94,0.41,100.39
2010,2,6,5.45,5.89,413.76,30.65,20.99,25.82,16.17,62.88,0.46,100.2
2010,2,7,5.36,5.68,415.74,29.69,22.51,26.1,17.33,69.06,0.4,100.26
2010,2,8,5.02,5.52,419.07,29.48,22.47,25.98,17.21,69.06,0.72,100.24
2010,2,9,5.27,5.68,408.64,28.9,22.88,25.89,17.52,71.5,0.46,100.26
2010,2,10,4.41,5.78,415.76,28.04,23.66,25.85,18.37,78.06,4.2,100.3
2010,2,11,3.62,5.84,422.04,27.45,23.95,25.7,18.68,81.75,9.2,100.28
2010,2,12,2.82,6.04,421.59,27.65,23.76,25.71,18.43,80.25,10.9,100.28
2010,2,13,5.67,6.32,414.97,28.58,23.99,26.29,18.68,77.56,7.02,100.38
2010,2,14,3.86,6.32,419.43,28.56,24.63,26.59,19.41,80.38,7.71,100.4
2010,2,15,3.77,6.35,419.39,27.46,21.86,24.65,16.48,72.81,0.12,100.5
