Date,T2M,WS2M,QV2M,RH2M,PREC,PS,SWRD
01/01/15,26.56,1.4,10.74,52.75,0.01,100.63,5.15
02/01/15,26.72,1.86,9.34,44.62,0,100.58,5.58
03/01/15,26.72,1.8,14.59,69.06,0.01,100.7,5.73
04/01/15,27.51,1.45,16.3,73,0.25,100.74,5.39
05/01/15,27.08,1.66,11.84,56.62,0.03,100.7,5.34
06/01/15,26.55,1.14,13.18,64.38,0,100.61,5.21
07/01/15,26.79,1.15,14.65,68.94,0,100.61,4.93
08/01/15,26.9,2.16,14.89,69.44,0,100.66,4.93
09/01/15,27.14,1.88,16.24,74.06,0.19,100.7,4.7
10/01/15,26.92,2.16,14.71,69.06,0.14,100.75,4.29
11/01/15,25.83,1.93,10.38,53.25,0.21,100.77,4.22
12/01/15,25.95,1.73,9.03,46.56,0,100.63,4.29
13/01/15,25.34,1.84,8.91,47.38,0,100.6,4.77
14/01/15,25.6,1.25,13.12,66.81,0,100.61,4.86
15/01/15,26.65,1.57,13.98,67,0,100.63,5.06
16/01/15,27.17,1.59,15.5,71.44,0,100.64,5.09
17/01/15,27.75,1.8,16.6,74,0.04,100.63,4.85
18/01/15,28.13,2.26,17.33,75.31,0.05,100.64,5.39
19/01/15,27.98,2.31,17.4,75.69,0.08,100.55,5.28
20/01/15,28.03,2.37,17.15,74.62,0.12,100.39,5.42
21/01/15,27.81,2.74,17.46,76.19,1.24,100.5,5.66
22/01/15,28.29,2.36,17.58,75.25,1.73,100.58,5.58
23/01/15,28.19,1.8,17.88,76.31,1.72,100.53,5.31
24/01/15,27.9,2.46,17.88,77.62,1.75,100.41,5.43
25/01/15,27.92,2.87,17.21,74.44,3.2,100.39,5.59
26/01/15,27.81,2.37,17.58,76.62,2.45,100.48,5.55
27/01/15,28.26,2.23,17.46,74.88,1.75,100.48,5.38
28/01/15,27.67,2.8,17.7,77.38,1.33,100.47,5.69
29/01/15,27.89,2.39,17.94,77.88,1.06,100.42,5.77
30/01/15,27.56,2.36,18.19,79.94,1,100.5,5.7
31/01/15,26.87,2.3,18.19,82.81,1.08,100.57,5.58
01/02/15,28.01,2.03,18.19,78.19,1.26,100.46,5.55
02/02/15,28.37,2.67,18.25,77.06,1.17,100.39,5.62
03/02/15,27.12,3.24,18.37,82.19,1.56,100.44,5.93
04/02/15,27.52,2.52,18.07,79.44,1.98,100.47,5.61
05/02/15,27.01,2.84,18.13,81.88,3.95,100.45,5.56
06/02/15,27.4,2.85,18.49,81.81,4.71,100.4,5.88
07/02/15,27.32,2.95,18.86,83.69,5.95,100.39,5.7
08/02/15,28.03,2.84,18.8,80.5,2.48,100.39,5.74
09/02/15,27.34,2.51,19.04,84.19,1.79,100.42,5.91
10/02/15,27.59,2.55,18.92,82.56,3.37,100.37,5.76
11/02/15,26.94,2.6,19.1,86.44,9.69,100.5,5.76
12/02/15,25.93,2.62,17.03,81.88,9.36,100.7,6.07
13/02/15,26.09,2.46,16.91,80.88,1.17,100.73,6.04
14/02/15,26.7,2.56,18.49,84.94,5.72,100.65,5.97
15/02/15,27.19,2.54,18.37,82.44,3.67,100.57,6.24
16/02/15,27.06,2.33,18.8,84.5,4.16,100.51,6.38
17/02/15,26.75,2.32,19.29,88,6.87,100.41,6.4
18/02/15,26.7,2.7,18.98,87,7.94,100.31,6.43
19/02/15,26.69,2.88,17.82,82,7.38,100.39,6.36
20/02/15,27.83,1.95,16.78,73.38,0.76,100.27,6.4
21/02/15,26.27,2.8,17.03,80.19,3.56,100.4,6.62
22/02/15,26.37,2.13,16.72,79.06,2.08,100.5,6.3
23/02/15,27.15,1.83,17.88,80.62,5.16,100.5,6.22
24/02/15,27.7,1.71,17.27,76.62,2.51,100.49,6.07
25/02/15,27.88,2.33,17.88,78.12,0.28,100.34,6.11
26/02/15,28.01,2.92,18.43,79.25,0.77,100.24,6.7
27/02/15,28.06,2.42,18.13,77.62,0.56,100.33,6.22
28/02/15,27.79,2.05,17.46,76.12,0.32,100.46,6.39
01/03/15,28.59,1.59,16.91,71.56,0.38,100.4,6.08
02/03/15,28.44,2.27,16.78,72.81,0.61,100.35,6.4
03/03/15,28.13,2.83,17.94,77,2.24,100.38,6.38
04/03/15,27.84,2.38,18.07,78.31,3.45,100.43,6.08
05/03/15,27.44,1.77,18.43,81.12,4.84,100.43,5.34
06/03/15,27.99,2.22,18.01,77.25,2.38,100.39,5.9
07/03/15,27.51,2.12,18.68,81.81,4.92,100.37,5.93
08/03/15,27.4,2.2,18.55,81.81,3.48,100.32,6.28
09/03/15,27.71,2.52,18.98,82.5,7.91,100.37,6.16
10/03/15,27.73,2.57,19.47,84.25,5.7,100.42,6.45
11/03/15,27.44,2.34,19.65,86.12,9.33,100.47,6.43
12/03/15,27.84,2.49,19.84,85.06,10.49,100.29,6.32
13/03/15,27.81,2.39,19.65,84.31,19.7,100.21,6.54
14/03/15,27.76,2.3,18.74,81.06,10.88,100.2,6.52
15/03/15,27.27,2.44,19.17,84.75,7.46,100.3,6.53
16/03/15,27.18,2.35,19.17,85.31,6.28,100.42,6.12
17/03/15,27.3,2.37,18.74,83.06,4.24,100.39,5.55
18/03/15,27.01,1.65,18.49,83.19,4.5,100.33,5.92
19/03/15,26.94,1.41,18.07,81.56,4.85,100.22,5.19
20/03/15,26.95,2.57,19.78,88.69,16.12,100.2,6.04
21/03/15,26.79,2.27,19.47,88.44,14.03,100.35,6.19
22/03/15,26.78,2.04,19.47,88.5,8.22,100.45,6.32
23/03/15,26.94,2.2,19.35,87.19,4.67,100.42,6.56
24/03/15,26.87,3,20.08,90.56,12.21,100.34,6.33
25/03/15,26.38,2.38,19.41,90.31,21.3,100.42,6.55
26/03/15,26.69,2.87,18.43,84.69,9.61,100.61,6.78
27/03/15,26.76,2.08,18.43,84.5,5.02,100.75,6.91
28/03/15,26.78,2.09,18.92,86.19,0.85,100.66,6.78
29/03/15,26.98,2.43,19.71,88.69,4.14,100.47,6.93
30/03/15,27.08,2.71,19.59,87.62,8.73,100.42,6.97
31/03/15,26.76,2.18,18.55,84.62,1.33,100.54,6.81
01/04/15,26.6,2.2,18.86,86.81,1.24,100.55,6.55
02/04/15,27.18,1.53,18.31,81.75,0.5,100.52,6.93
03/04/15,26.77,2.09,19.23,87.44,2.19,100.44,6.29
04/04/15,27.01,2.34,19.35,86.88,3.78,100.36,5.96
05/04/15,26.8,2.73,18.25,83.12,2.22,100.38,6.06
06/04/15,26.44,1.9,18.74,86.81,2.83,100.4,6.54
07/04/15,26.99,1.72,19.04,85.69,6.55,100.45,6.65
08/04/15,26.98,2.06,19.71,88.56,7.84,100.46,6.69
09/04/15,26.68,2.16,19.41,88.75,9.87,100.48,6.78
10/04/15,27.15,2.27,19.41,86.56,5.26,100.49,6.73
11/04/15,26.96,2.28,19.59,88.19,11.34,100.48,6.77
12/04/15,26.14,2.09,19.04,89.81,27.64,100.64,6.43
13/04/15,26.83,1.46,18.07,82.5,0.22,100.65,5.47
14/04/15,27.42,1.73,19.65,86.19,2.39,100.5,4.57
15/04/15,27.17,2.36,19.9,88.31,2.25,100.42,4.96
16/04/15,27.2,1.94,19.71,87.62,4.12,100.47,5.7
17/04/15,27.41,1.99,19.53,85.88,1.74,100.52,5.84
18/04/15,27.33,1.94,19.35,85.25,3.48,100.5,6.32
19/04/15,27.23,1.94,19.41,85.94,5.19,100.43,6.34
20/04/15,26.83,1.93,19.59,88.75,6.48,100.41,6.12
21/04/15,27.09,2.06,19.59,87.5,19.1,100.42,6.18
22/04/15,26.9,2.05,19.65,88.81,13.78,100.49,6.26
23/04/15,27.22,2.48,18.92,84.25,17.84,100.5,6.42
24/04/15,26.87,2.56,19.35,87.44,12.68,100.57,6.64
25/04/15,26.82,1.81,19.17,86.94,5.66,100.61,6.62
26/04/15,26.94,1.96,19.04,85.94,3.86,100.59,6.4
27/04/15,26.69,1.68,19.04,87.12,2.04,100.55,6.43
28/04/15,27.16,1.75,19.1,85.12,2.87,100.46,6.61
29/04/15,27.33,2.29,19.29,85.06,3.19,100.43,6.5
30/04/15,26.91,1.86,19.35,86.94,3.45,100.39,6.85
01/05/15,27.39,1.98,19.71,86.31,7.89,100.36,6.89
02/05/15,27.08,2.26,19.9,88.62,9.67,100.35,6.85
03/05/15,27.28,2,19.9,87.56,15.61,100.41,6.62
04/05/15,26.35,2.22,18.49,86.19,4.78,100.53,6.44
05/05/15,26.33,2.02,18.55,86.44,10.71,100.57,6.66
06/05/15,26.33,2.1,18.55,86.81,0.99,100.55,6.75
07/05/15,26.66,2.09,18.92,86.62,2,100.55,6.76
08/05/15,27.05,2.57,19.9,88.94,2.75,100.6,6.76
09/05/15,27.2,1.91,19.35,86.25,2.1,100.6,6.82
10/05/15,26.85,2.06,19.23,87,2.11,100.56,6.88
11/05/15,26.76,2.12,19.47,88.5,1.65,100.54,6.82
12/05/15,27.15,1.98,19.41,86.31,1.85,100.6,6.8
13/05/15,27.58,1.47,19.47,84.62,1.2,100.51,6.81
14/05/15,27.3,2.23,19.9,87.75,3.36,100.45,6.57
15/05/15,26.9,1.9,19.29,87.19,1.51,100.51,6.78
16/05/15,26.39,1.51,18.62,86.81,2.51,100.64,6.72
17/05/15,26.31,2.18,19.04,89.06,7.2,100.61,6.09
18/05/15,25.95,2.31,18.8,89.94,6.13,100.67,6.52
