YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS
2010,1,1,3.56,7.15,377.52,19.54,16.2,17.87,13.79,82.31,1.61,83.84
2010,1,2,3.95,7.07,372.78,18.73,15.32,17.02,13,82,1.33,83.92
2010,1,3,4.96,7.05,379.65,19.84,15.51,17.68,13.18,78.31,0.79,83.9
2010,1,4,3.8,7.11,372.46,19.73,16.09,17.91,13.67,81.56,1.33,83.85
2010,1,5,5.11,7.04,374.83,19.78,16.15,17.96,13.73,81.38,3.04,83.83
2010,1,6,3.47,6.87,379.41,19.69,16.19,17.94,13.79,82.19,6.65,83.78
2010,1,7,5.17,7.02,374.76,19.99,15.9,17.94,13.55,79.56,1.3,83.79
2010,1,8,4.68,6.72,374.41,19.55,15.87,17.71,13.49,81.12,2.14,83.84
2010,1,9,5.99,6.84,368.63,19.57,15.08,17.33,12.82,76.44,0.98,83.91
2010,1,10,4.77,6.3,382.49,19.96,15.79,17.87,13.43,78.56,10.87,83.88
2010,1,11,3.03,6.38,384.38,19.57,16.4,17.98,13.98,82.94,8.22,83.87
2010,1,12,4.11,6.52,376.23,20,16.51,18.26,14.1,81.75,33.26,83.82
2010,1,13,5.31,6.44,379.81,19.77,16.6,18.19,14.16,83.06,30.71,83.87
2010,1,14,3.99,6.64,375.2,18.6,15.33,16.97,13,82.56,3.67,83.99
2010,1,15,4.81,7,361.05,18.84,14.83,16.83,12.57,79.81,2,84.03
2010,1,16,4.76,7.24,360.58,19.35,15.33,17.34,13,79.75,0.09,84.09
2010,1,17,5.73,7.44,361.86,19.67,15.07,17.37,12.82,77.25,0.44,84.11
2010,1,18,5.75,7.44,363.44,20.15,15.44,17.8,13.12,76.62,0.25,84
2010,1,19,5.98,7.49,361.21,19.98,15.39,17.69,13.06,77,0.31,83.92
2010,1,20,5.32,7.3,365.56,19.9,15.3,17.6,13,77.06,0.19,83.92
2010,1,21,5.8,7.39,366.88,20.26,15.58,17.92,13.24,76.69,2.74,83.94
2010,1,22,3.7,7.01,377.68,20.25,15.85,18.05,13.49,77.81,1.7,83.91
2010,1,23,5.5,7.23,373.74,20.4,15.83,18.12,13.49,77.31,2.43,83.87
2010,1,24,5.46,7.28,367.68,20.45,16.26,18.36,13.85,78.75,2.54,83.73
2010,1,25,5.92,7.45,358.64,19.83,16.12,17.98,13.73,81.12,1.33,83.74
2010,1,26,6.68,7.6,359.5,20.76,15.64,18.2,13.31,75.69,0,83.76
2010,1,27,6.73,7.7,358.79,20.92,14.35,17.64,12.27,69.38,0,83.76
2010,1,28,7.17,7.75,350.61,20.69,13.57,17.13,11.66,67.19,0,83.78
2010,1,29,6.79,7.74,350.74,20.74,13.36,17.05,11.54,67.38,0,83.77
2010,1,30,6.67,7.58,358.82,20.96,12.88,16.92,11.17,63.81,0,83.87
2010,1,31,6.96,7.64,356.15,21.26,13.15,17.2,11.41,63.31,0.06,83.9
2010,2,1,6.75,7.69,370.23,21.57,14.9,18.23,12.7,69.5,0.04,83.85
2010,2,2,7.11,7.63,369.48,22.41,14.74,18.58,12.57,64.56,0.14,83.74
2010,2,3,6.53,7.4,379.98,22.47,16.11,19.29,13.79,70.62,2.97,83.73
2010,2,4,4.84,7.22,389.15,19.14,16.44,17.79,13.98,85.44,7.11,83.96
2010,2,5,3.75,7.02,380.07,19.29,14.65,16.98,12.45,76.75,7.81,83.91
2010,2,6,3.99,6.87,384.29,19.8,15.47,17.63,13.18,78.19,5.34,83.83
2010,2,7,4.13,7.25,389.09,19.47,16.08,17.77,13.67,82.31,11.74,83.86
2010,2,8,4.45,7.48,384.1,19.65,16.27,17.96,13.85,82.38,4.38,83.81
2010,2,9,4.36,7.45,376.36,19.36,16.26,17.81,13.85,83.44,13.47,83.76
2010,2,10,6.59,7.75,364.56,19.84,15.37,17.61,13.06,76.88,2.15,83.81
2010,2,11,7.22,7.85,358.7,19.99,14.25,17.12,12.15,71.62,0.16,83.8
2010,2,12,6.57,7.74,370.53,20.42,15.32,17.87,13.06,74.44,0.75,83.81
2010,2,13,4.68,7.58,388.55,22.15,15.09,18.62,12.94,66.31,1.53,83.78
2010,2,14,5.94,7.45,380.49,22.08,15.94,19.01,13.61,69.81,2.37,83.7
2010,2,15,4.2,7.35,377.27,20.3,16.19,18.24,13.79,78.69,2.76,83.7
2010,2,16,1.18,7.21,377.19,19.55,16.23,17.89,13.79,82.75,1.11,83.87
2010,2,17,4.26,7.53,391.76,20.43,14.8,17.62,12.57,71.69,0.66,84.04
2010,2,18,6.25,7.52,377.54,20.47,15.91,18.19,13.49,76.81,0.22,84.01
2010,2,19,6.11,7.59,385.4,21.62,16.12,18.87,13.73,73.06,1.1,83.91
2010,2,20,3.38,7.59,386.13,20.88,17.13,19.01,14.65,80.81,26.92,83.81
2010,2,21,6.25,7.53,382.33,20.15,17.23,18.69,14.77,84.56,13.63,83.79
2010,2,22,3.83,7.54,386.73,19.79,17.06,18.43,14.53,85.25,12.71,83.86
2010,2,23,5.81,7.55,384.27,20.6,16.51,18.56,14.1,79.62,3.93,83.82
2010,2,24,2.34,7.55,389.1,20.19,16.84,18.51,14.4,82.62,6.46,83.74
2010,2,25,4.44,7.48,380.2,19.85,16.79,18.32,14.28,83.81,23.05,83.81
2010,2,26,3,7.6,376.7,18.6,16.42,17.51,13.98,87.38,5.09,83.92
2010,2,27,5.57,7.52,377.17,19.81,16.43,18.12,13.98,82.69,7.24,83.94
2010,2,28,4.59,7.51,384.89,20.17,16.8,18.48,14.28,82,9.23,83.94
2010,3,1,3.17,7.62,378.49,18.33,16.36,17.34,13.92,88.69,57.55,83.94
2010,3,2,6.33,7.53,369.7,19.13,14.33,16.73,12.21,76,2.92,84.01
2010,3,3,5.06,7.61,379.77,20,15.33,17.66,13.06,76.5,4.53,84.03
2010,3,4,4.33,7.45,381.7,18.75,16.15,17.45,13.73,85.5,4.86,84.04
2010,3,5,7.14,7.79,370.48,20.87,15.65,18.26,13.31,74.44,4.39,83.92
2010,3,6,3.23,7.78,374.91,20.14,16.69,18.41,14.22,82.44,4.1,83.92
2010,3,7,5.85,7.69,375.01,20.13,15.97,18.05,13.55,78.81,8.78,83.93
2010,3,8,4.58,7.74,374.71,19.34,16.5,17.92,14.04,84.56,3.78,83.92
2010,3,9,5.6,7.56,375.21,19.88,16.3,18.09,13.85,81.62,5.46,83.88
2010,3,10,5.5,7.7,376.88,19.6,16.51,18.05,14.04,83.56,7.42,83.85
2010,3,11,6.63,7.85,372.61,19.84,16.01,17.93,13.61,80.19,2.34,83.93
2010,3,12,6.95,7.84,360.78,20.31,15.55,17.94,13.24,76.62,0.69,83.89
2010,3,13,6.98,7.79,368.3,20.5,15.51,18.01,13.18,75.62,0.26,83.81
2010,3,14,6.76,7.69,374.21,20.72,15.38,18.05,13.06,73.94,2.67,83.74
2010,3,15,6.3,7.51,377.49,20.65,15.53,18.09,13.24,74.31,2.53,83.81
